paper title,authors,url of paper
Brain tumor classification using convolutional neural network,"N Abiwinanda, M Hanif, ST Hesaputra… - World Congress on …, 2019 - Springer",https://link.springer.com/chapter/10.1007/978-981-10-9035-6_33
[PDF][PDF] Brain tumor classification using convolutional neural networks,"J Seetha, SS Raja - Biomedical & Pharmacology Journal, 2018 - proficientsolutions.in",http://proficientsolutions.in/wp-content/uploads/2022/09/BPJ_Vol_11_No_3_p_1457-1461.pdf
Deep learning for brain tumor classification,"JS Paul, AJ Plassard, BA Landman… - Medical Imaging 2017 …, 2017 - spiedigitallibrary.org",https://www.spiedigitallibrary.org/conference-proceedings-of-spie/10137/1013710/Deep-learning-for-brain-tumor-classification/10.1117/12.2254195.short
[PDF][PDF] GLCM textural features for brain tumor classification,"N Zulpe, V Pawar - International Journal of Computer Science Issues …, 2012 - cocsit.org.in",https://www.cocsit.org.in/download/publications/nsz/nsz_glcm_textural_features_for_btc.pdf
Brain tumor classification using deep CNN features via transfer learning,"S Deepak, PM Ameer - Computers in biology and medicine, 2019 - Elsevier",https://www.sciencedirect.com/science/article/pii/S0010482519302148
Probabilistic neural network for brain tumor classification,"MF Othman, MAM Basri - 2011 Second International …, 2011 - ieeexplore.ieee.org",https://ieeexplore.ieee.org/abstract/document/5730335/
State of the science in brain tumor classification,"ND Doolittle - Seminars in oncology nursing, 2004 - Elsevier",https://www.sciencedirect.com/science/article/pii/S0749208104000865
Brain tumours: classification and genes,"VP Collins - Journal of Neurology, Neurosurgery & Psychiatry, 2004 - jnnp.bmj.com",https://jnnp.bmj.com/content/75/suppl_2/ii2.short
2016 updates to the WHO brain tumor classification system: what the radiologist needs to know,"DR Johnson, JB Guerin, C Giannini, JM Morris… - Radiographics, 2017 - pubs.rsna.org",https://pubs.rsna.org/doi/abs/10.1148/rg.2017170037
[HTML][HTML] Enhanced performance of brain tumor classification via tumor region augmentation and partition,"J Cheng, W Huang, S Cao, R Yang, W Yang, Z Yun… - PloS one, 2015 - journals.plos.org",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0140381
[HTML][HTML] Brain Tumor Segmentation and Classification from MRI Images using Improved FLICM Segmentation and SCA Weight Optimized Wavelet-ELM Model,"DK Sahoo, S Mishra… - International Journal of …, 2022 - search.proquest.com",https://search.proquest.com/openview/496560430a0455d0f4096429d8c7fb1e/1?pq-origsite=gscholar&cbl=5444811
[CITATION][C] Glioblastoma neurological diffusion comparative medecinal study using finite element method (FEM) and boubaker polynomial expansion scheme (BPES),M Garshasbi - 2012,
[CITATION][C] Modification of glycoconjugate content and distribution in human meningiomas,"B Berra, S Rapelli, M Brivio, R Gornati, F Omodeo-Sale - Clin. Chem. Enzymol …, 1990",
Privacy-Preserving Collaborative Deep Learning Using Verifiable Multi-Secret Sharing Scheme,"WS Lestari, R Purba, A Halim… - 2020 3rd International …, 2020 - ieeexplore.ieee.org",https://ieeexplore.ieee.org/abstract/document/9166650/
Enchondromatosis-associated oligodendroglioma: case report and literature review,"T Achiha, H Arita, N Kagawa, T Murase, J Ikeda… - Brain Tumor …, 2018 - Springer",https://link.springer.com/article/10.1007/s10014-017-0303-y
[PDF][PDF] Computer based diagnosis system for tumor detection & Classification: a hybrid approach,"DB Amrapur - International Journal of Pure and Applied …, 2018 - researchgate.net",https://www.researchgate.net/profile/Virupakshappa-Patil/publication/328967884_Computer_Based_Diagnosis_System_for_Tumor_Detection_Classification_A_Hybrid_Approach/links/60b9cbe1a6fdcc22ead3f03a/Computer-Based-Diagnosis-System-for-Tumor-Detection-Classification-A-Hybrid-Approach.pdf
"[BOOK][B] Tumors of the Central Nervous System, Volume 13: Types of Tumors, Diagnosis, Ultrasonography, Surgery, Brain Metastasis, and General CNS Diseases",MA Hayat - 2013 - books.google.com,https://books.google.com/books?hl=en&lr=&id=yVvFBAAAQBAJ&oi=fnd&pg=PR7&dq=brain+tumor+clasification&ots=Awha5s3h29&sig=LEcU41gx5TJ2BMmhHU7yTjZ8_oI
The Influence of Magnetic Resonance Imaging Artifacts on CNN-Based Brain Cancer Detection Algorithms,"MCQ Farias, PH de Castro Oliveira… - Computational …, 2022 - Springer",https://link.springer.com/article/10.1007/s10598-023-09567-4
"Tumors of the Central Nervous System, Volume 12: Molecular Mechanisms, Children's Cancer, Treatments, and Radiosurgery",MA Hayat - 2013 - books.google.com,https://books.google.com/books?hl=en&lr=&id=VwfGBAAAQBAJ&oi=fnd&pg=PR7&dq=brain+tumor+clasification&ots=CcNm9S-bDv&sig=7LL4KeY9GN1GRl6lCet-Uw80JPE
